travel_id,location,travel_time_hours
1,Brampton,1
2,Burlington,1
3,Concord,1
4,Etobicoke,1
5,Georgetown,1
6,Maple,1
7,Milton,1
8,Mississauga,1
9,Oakville,1
10,Rexdale,1
11,Vaughan,1
12,Woodbridge,1
13,Ajax,1.5
14,Ancaster,1.5
15,Bolton,1.5
16,Campbridge,1.5
17,Downtown Toronto,1.5
18,Guelph,1.5
19,Hamilton,1.5
20,Markham,1.5
21,Mount Hope,1.5
22,North York,1.5
23,Orangeville,1.5
24,Pickering,1.5
25,Richmond Hill,1.5
26,Scarborough,1.5
27,Stoney Creek,1.5
28,Aurora ,2
29,Barrie,2
30,Bowmanville,2
31,Bradford,2
32,Brantford,2
33,Kitchener,2
34,Newmarket,2
35,Niagara,2
36,Oshawa,2
37,St. Catharines,2
38,Uxbridge,2
39,Waterloo,2
40,Whitby,2
41,Stratford,2.5
42,Belleville,3
43,London,3
44,Lyndsey,3
45,Peterborough,3
46,Tillsonburg,3
47,No Travel,0